PAY_0: ['-2'],PAY_0: ['0'],PAY_0: ['2' '3+'],PAY_3: ['-1'],PAY_3: ['2' '3+'],PAY_5: ['2' '3+'],"LIMIT_BAL_YEO: (-inf, 61.79)","LIMIT_BAL_YEO: [111.07, inf)","LIMIT_BAL_YEO: [89.11, 111.07)","AGE_LOGC: [4.21, inf)","BILL_AMT1_POW: [19.77, 185.81)","BILL_AMT1_POW: [390.34, inf)","PAY_AMT1_LOGC: (-inf, 3.11)","PAY_AMT1_LOGC: [8.42, 9.78)","PAY_AMT1_LOGC: [9.78, inf)","PAY_AMT2_POW: [9.54, 44.73)","PAY_AMT3_LOGC: (-inf, 2.35)",alvo,quebra,probas,score,safras,ID,GH
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,DES,0.3241553751709228,676,202111,27,B
0,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,DES,0.31677522140058756,683,202103,28,B
0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,DES,0.3065080674698538,693,202112,29,B
0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,1,DES,0.3751439732768111,625,202106,30,C
0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,DES,0.4610026931857104,539,202106,31,D
0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,DES,0.4252130194241434,575,202110,32,C
0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,DES,0.2736019323016018,726,202107,33,B
0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,DES,0.89630308050962,104,202106,34,E
0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,DES,0.27922766268857097,721,202110,35,B
0,0,0,0,1,1,0,0,1,0,0,1,0,1,0,0,1,1,DES,0.8408518720364575,159,202106,36,E
0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,DES,0.4862604387562127,514,202110,37,D
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,DES,0.3241553751709228,676,202106,38,B
0,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,DES,0.31677522140058756,683,202107,39,B
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,DES,0.3771634932376093,623,202106,40,C
0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1,DES,0.5444742906902288,456,202107,41,D
0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,DES,0.2736019323016018,726,202108,42,B
0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,1,0,0,DES,0.26076804679100185,739,202106,43,A
0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,DES,0.43326857404541186,567,202105,44,D
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,DES,0.3771634932376093,623,202112,45,C
0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,DES,0.25701149367186665,743,202112,46,A
1,0,0,1,0,0,0,0,0,1,1,0,0,1,0,1,1,1,DES,0.2905019804921322,709,202105,47,B
0,0,1,0,0,0,0,0,1,1,0,1,0,1,0,0,0,1,DES,0.8315703969259607,169,202108,48,E
1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,DES,0.34433059277004724,656,202107,49,C
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,DES,0.3771634932376093,623,202112,50,C
0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,DES,0.5072038016798015,493,202107,51,D
0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,DES,0.2183828373651599,781,202112,52,A
0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,DES,0.2736019323016018,726,202112,53,B
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,DES,0.4629995150025629,537,202106,54,D
0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,DES,0.4816588033356838,518,202101,55,D
0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,DES,0.7052907303633241,295,202105,56,E
0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,DES,0.4106555021934511,589,202105,57,C
0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,DES,0.2775104043939069,722,202102,58,B
0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,DES,0.5030445822814302,497,202107,59,D
0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1,0,DES,0.3535405484788417,646,202109,60,C
0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,DES,0.45061729430048103,549,202108,61,D
0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,DES,0.7933337838439226,207,202110,62,E
0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,DES,0.8761170195482488,124,202106,63,E
0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,DES,0.561022644036552,439,202111,64,D
0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,DES,0.4202266156727202,580,202101,65,C
0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,DES,0.2736019323016018,726,202103,66,B
0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0,DES,0.4673286742932135,533,202104,67,D
0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,DES,0.3284594688488218,671,202102,68,C
1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,1,DES,0.46478562362942477,535,202110,69,D
0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,DES,0.3284594688488218,671,202107,70,C
0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,1,1,DES,0.6836752738488372,317,202106,71,E
0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,DES,0.38496705470574705,615,202110,72,C
0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,DES,0.24443094295525333,755,202107,73,A
0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,1,DES,0.7559984155042149,244,202107,74,E
0,1,0,0,1,1,1,0,0,0,1,0,0,1,0,0,1,0,DES,0.6818063090078378,318,202110,75,E
0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,DES,0.7500577364660085,250,202110,76,E
0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,DES,0.4490975177930126,551,202103,77,D
0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,DES,0.4202266156727202,580,202103,78,C
0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,DES,0.16693743035104738,833,202102,79,A
0,1,0,0,0,0,0,0,1,1,0,1,0,1,0,0,0,1,DES,0.34790009907741,652,202108,80,C
0,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,DES,0.35365826315327487,646,202102,81,C
0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,DES,0.4610026931857104,539,202111,82,D
0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,1,DES,0.8289599345757296,171,202101,83,E
0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,DES,0.7356976158673315,265,202108,84,E
0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,DES,0.4106555021934511,589,202109,85,C
0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,DES,0.4284673574970773,571,202104,86,C
0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,1,DES,0.8109889604217785,189,202103,87,E
1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,DES,0.22831682897657632,771,202101,88,A
0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,DES,0.37056570284687396,629,202111,89,C
0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,DES,0.45606616333388666,544,202101,90,D
0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,DES,0.46231572480839306,538,202111,91,D
0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1,1,0,DES,0.6767760081347673,323,202112,92,E
0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,DES,0.5116977710529923,488,202111,93,D
0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,DES,0.7228356397864786,277,202106,94,E
0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,DES,0.21277137671869545,787,202103,95,A
0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0,DES,0.5309172834731882,469,202102,96,D
0,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,DES,0.31677522140058756,683,202111,97,B
0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,DES,0.4326074056880302,567,202107,98,D
0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,DES,0.30236210815739234,697,202106,99,B
0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,DES,0.2970664876910837,703,202107,100,B
0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1,DES,0.46231572480839306,538,202111,101,D
0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,DES,0.46298524811058367,537,202112,102,D
0,0,1,0,1,1,0,0,1,1,1,0,1,0,0,0,1,1,DES,0.9643990600286552,36,202103,103,E
0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0,DES,0.4673286742932135,533,202107,104,D
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,DES,0.3771634932376093,623,202104,105,C
0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,DES,0.7665542278152885,234,202105,106,E
0,1,0,0,0,0,0,0,1,1,0,1,0,1,0,0,0,0,DES,0.34790009907741,652,202107,107,C
0,1,0,0,0,0,0,0,1,1,0,1,0,1,0,0,0,0,DES,0.34790009907741,652,202107,108,C
0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,DES,0.41004256569261677,590,202105,109,C
0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,DES,0.2332625929872999,766,202103,110,A
1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,DES,0.24207991682657817,758,202103,111,A
0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,DES,0.2198553862956924,780,202111,112,A
0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1,0,1,DES,0.5142324632455766,486,202103,113,D
0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,DES,0.4106555021934511,589,202111,114,C
0,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,DES,0.35365826315327487,646,202106,115,C
0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,DES,0.4326074056880302,567,202107,116,D
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,DES,0.3771634932376093,623,202103,117,C
0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,DES,0.4490975177930126,551,202104,118,D
0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,DES,0.9050328543670967,95,202111,119,E
0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,DES,0.5030445822814302,497,202112,120,D
0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,DES,0.9115813746587965,89,202112,121,E
0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,DES,0.30236210815739234,697,202106,122,B
0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,DES,0.2775104043939069,722,202102,123,B
0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,DES,0.2332625929872999,766,202103,124,A
0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,DES,0.6408525599297256,359,202110,125,E
0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,DES,0.1812067481943651,818,202103,126,A
0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,DES,0.4106555021934511,589,202103,127,C
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,DES,0.3771634932376093,623,202107,128,C
0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,DES,0.5960342424232525,404,202111,129,D
1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,DES,0.31334895359753057,686,202102,130,B
0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,DES,0.9596258240712027,41,202106,131,E
0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,DES,0.3556279474467265,644,202111,132,C
0,0,0,1,0,0,0,0,1,0,0,1,1,0,0,1,1,0,DES,0.7543059535718362,246,202105,133,E
0,0,0,1,0,0,0,0,1,1,1,0,1,0,0,0,1,0,DES,0.5189429228190185,481,202107,134,D
0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,DES,0.1812067481943651,818,202106,135,A
1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,DES,0.3538219060467861,646,202108,136,C
0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,DES,0.4326074056880302,567,202107,137,D
0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,DES,0.3083281883372258,691,202107,138,B
0,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,DES,0.20287583614947388,797,202111,139,A
0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,DES,0.48558769217969594,514,202112,140,D
0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,DES,0.5735587927857343,427,202103,141,D
0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,1,DES,0.3870833197038016,613,202106,142,C
1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,DES,0.15253308755676467,847,202102,143,A
0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,DES,0.5735587927857343,427,202102,144,D
0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,DES,0.2183828373651599,781,202108,145,A
0,1,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,DES,0.6747431565460859,325,202104,146,E
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,DES,0.3771634932376093,623,202106,147,C
0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,DES,0.27922766268857097,721,202112,148,B
0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,DES,0.17283046610465175,827,202101,149,A
0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,1,0,0,DES,0.26076804679100185,739,202109,150,A
0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,DES,0.32227282453933326,678,202110,151,B
0,1,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0,DES,0.1841299018259714,816,202106,152,A
0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,1,DES,0.6919924754638318,308,202104,153,E
0,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,DES,0.31677522140058756,683,202107,154,B
0,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,DES,0.2819369678019905,718,202104,155,B
0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,DES,0.6408525599297256,359,202102,156,E
0,0,0,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,DES,0.5206448748542938,479,202112,157,D
0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,DES,0.2198553862956924,780,202101,158,A
0,0,1,0,1,1,0,1,0,1,0,1,0,0,1,0,0,0,DES,0.9375732887385795,63,202103,159,E
0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,1,0,1,DES,0.9071508484131293,93,202111,160,E
0,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,DES,0.9630553865060913,37,202104,161,E
0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,DES,0.32228535762753147,678,202106,162,B
0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,DES,0.3362391108432197,664,202105,163,C
0,0,0,0,1,1,0,0,1,0,1,0,0,0,0,1,0,0,DES,0.7545511869988543,246,202103,164,E
0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,1,0,DES,0.483870326703896,516,202109,165,D
0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,DES,0.5142324632455766,486,202101,166,D
0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,DES,0.8944691305992599,106,202106,167,E
0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,DES,0.5835546208692391,417,202112,168,D
0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,DES,0.4106555021934511,589,202110,169,C
0,0,1,0,1,1,0,0,0,1,0,0,1,0,0,0,0,1,DES,0.9677370260999951,33,202107,170,E
0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,DES,0.8485759218863606,152,202111,171,E
0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,DES,0.4252130194241434,575,202109,172,C
0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,DES,0.22323202566170394,776,202104,173,A
0,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,1,DES,0.31677522140058756,683,202101,174,B
1,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1,0,DES,0.47287662951489595,527,202103,175,D
0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,DES,0.24911255868042348,751,202112,176,A
0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,DES,0.19479934506918528,805,202101,177,A
0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,DES,0.2775104043939069,722,202112,178,B
0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,DES,0.2775104043939069,722,202105,179,B
0,0,0,1,0,1,0,0,1,0,1,0,0,0,1,1,0,0,DES,0.42903721535391925,571,202103,180,C
0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,DES,0.2447783865074742,755,202107,181,A
0,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,DES,0.31677522140058756,683,202104,182,B
0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,DES,0.2522312965391702,748,202106,183,A
0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,DES,0.8109889604217785,189,202109,184,E
0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,DES,0.3556279474467265,644,202101,185,C
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,DES,0.40578736180366204,594,202104,186,C
0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,DES,0.3284594688488218,671,202106,187,C
0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,DES,0.3751439732768111,625,202109,188,C
0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,1,0,0,DES,0.6226673630208727,377,202103,189,E
0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,1,DES,0.40371392059746536,596,202102,190,C
0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,DES,0.2624193321920972,737,202102,191,A
0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,1,DES,0.9596258240712027,41,202107,192,E
0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,DES,0.5835546208692391,417,202105,193,D
0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,DES,0.5093403909870236,491,202108,194,D
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,DES,0.3241553751709228,676,202104,195,B
0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,DES,0.4400254214642327,560,202106,196,D
0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,DES,0.320817242954078,679,202105,197,B
0,0,1,0,1,1,1,0,0,0,1,0,0,1,0,1,1,1,DES,0.9615911245369345,39,202102,198,E
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,DES,0.3241553751709228,676,202108,199,B
0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,DES,0.6287295431796773,371,202105,200,E
0,0,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1,DES,0.9170899333122873,83,202105,201,E
0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,1,DES,0.6658008491344914,334,202108,202,E
1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,DES,0.31272606311978773,687,202104,203,B
0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,DES,0.32227282453933326,678,202112,204,B
0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,DES,0.3284594688488218,671,202110,205,C
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,DES,0.3241553751709228,676,202107,206,B
1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,DES,0.4981836362751449,502,202112,207,D
1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,DES,0.4981836362751449,502,202102,208,D
0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,1,DES,0.468556225577315,531,202112,209,D
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,DES,0.3771634932376093,623,202108,210,C
0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,DES,0.2183828373651599,781,202102,211,A
0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,DES,0.27922766268857097,721,202110,212,B
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,DES,0.3241553751709228,676,202104,213,B
0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,DES,0.5672158634080074,433,202108,214,D
0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,DES,0.3870833197038016,613,202107,215,C
0,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,DES,0.31677522140058756,683,202101,216,B
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,DES,0.3771634932376093,623,202101,217,C
0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,1,DES,0.5205163399980923,480,202102,218,D
0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,1,1,DES,0.8593354426960489,141,202112,219,E
0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,DES,0.4326074056880302,567,202108,220,D
0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,DES,0.45061729430048103,549,202112,221,D
0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,DES,0.4106555021934511,589,202112,222,C
0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,DES,0.5835546208692391,417,202105,223,D
0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,DES,0.2332625929872999,766,202106,224,A
0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,DES,0.6928271608404611,307,202108,225,E
0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,DES,0.2231457311987396,777,202112,226,A
0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,DES,0.14200011482625335,858,202101,227,A
0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,1,DES,0.673401897322577,327,202105,228,E
0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,DES,0.21977002782743318,780,202108,229,A
0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,DES,0.20127448898048744,798,202103,230,A
0,0,0,1,0,0,0,1,0,1,1,0,0,0,0,1,0,0,DES,0.3406395559144055,659,202110,231,C
0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,DES,0.22323202566170394,776,202107,232,A
0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,DES,0.2623230049914483,737,202105,233,A
